PR_NUM,REPO,LIFETIMEMERGE_STATUS
136,puppetlabs/hiera,1346,false
135,puppetlabs/hiera,981,true
134,puppetlabs/hiera,6394,true
133,puppetlabs/hiera,1559,true
132,puppetlabs/hiera,0,true
131,puppetlabs/hiera,0,false
130,puppetlabs/hiera,3,true
129,puppetlabs/hiera,61,true
128,puppetlabs/hiera,8,false
127,puppetlabs/hiera,0,true
126,puppetlabs/hiera,336,false
125,puppetlabs/hiera,60,true
124,puppetlabs/hiera,1113,true
123,puppetlabs/hiera,13311,false
122,puppetlabs/hiera,242,true
121,puppetlabs/hiera,3,true
120,puppetlabs/hiera,1,true
119,puppetlabs/hiera,0,false
118,puppetlabs/hiera,38,true
117,puppetlabs/hiera,23196,true
116,puppetlabs/hiera,27434,true
115,puppetlabs/hiera,2966,false
114,puppetlabs/hiera,21102,false
113,puppetlabs/hiera,21456,false
111,puppetlabs/hiera,0,true
110,puppetlabs/hiera,0,false
109,puppetlabs/hiera,4,true
108,puppetlabs/hiera,63,false
107,puppetlabs/hiera,1,true
106,puppetlabs/hiera,31,true
105,puppetlabs/hiera,7,true
104,puppetlabs/hiera,1,true
103,puppetlabs/hiera,1414,true
102,puppetlabs/hiera,27615,true
101,puppetlabs/hiera,85168,false
100,puppetlabs/hiera,227392,true
99,puppetlabs/hiera,7185,false
98,puppetlabs/hiera,140357,false
97,puppetlabs/hiera,1,true
96,puppetlabs/hiera,1,true
95,puppetlabs/hiera,14,true
94,puppetlabs/hiera,92,true
93,puppetlabs/hiera,15,true
92,puppetlabs/hiera,1011,true
91,puppetlabs/hiera,30,true
90,puppetlabs/hiera,150,true
89,puppetlabs/hiera,8,true
88,puppetlabs/hiera,238,true
87,puppetlabs/hiera,0,true
86,puppetlabs/hiera,8327,true
85,puppetlabs/hiera,38,false
84,puppetlabs/hiera,178,true
83,puppetlabs/hiera,1187,true
82,puppetlabs/hiera,4,true
81,puppetlabs/hiera,2,true
80,puppetlabs/hiera,0,true
79,puppetlabs/hiera,4337,true
78,puppetlabs/hiera,31,true
77,puppetlabs/hiera,14398,true
76,puppetlabs/hiera,0,true
75,puppetlabs/hiera,3878,true
74,puppetlabs/hiera,31,true
73,puppetlabs/hiera,1,false
72,puppetlabs/hiera,143,true
71,puppetlabs/hiera,0,false
70,puppetlabs/hiera,300,true
69,puppetlabs/hiera,11312,false
68,puppetlabs/hiera,1301,true
67,puppetlabs/hiera,0,false
66,puppetlabs/hiera,1609,true
65,puppetlabs/hiera,5,false
64,puppetlabs/hiera,99,true
63,puppetlabs/hiera,4160,true
62,puppetlabs/hiera,4079,true
61,puppetlabs/hiera,6,true
60,puppetlabs/hiera,2,true
59,puppetlabs/hiera,86,true
58,puppetlabs/hiera,17,true
57,puppetlabs/hiera,1687,false
56,puppetlabs/hiera,12512,false
55,puppetlabs/hiera,83,true
54,puppetlabs/hiera,761,true
53,puppetlabs/hiera,1,true
52,puppetlabs/hiera,0,true
51,puppetlabs/hiera,5,true
50,puppetlabs/hiera,30,true
49,puppetlabs/hiera,3989,true
48,puppetlabs/hiera,446032,false
47,puppetlabs/hiera,1450,true
46,puppetlabs/hiera,15930,false
45,puppetlabs/hiera,115,true
44,puppetlabs/hiera,212,true
43,puppetlabs/hiera,1215,true
42,puppetlabs/hiera,1225,true
41,puppetlabs/hiera,1428,true
40,puppetlabs/hiera,3909,true
39,puppetlabs/hiera,20395,true
38,puppetlabs/hiera,10073,false
37,puppetlabs/hiera,144013,false
36,puppetlabs/hiera,94,false
35,puppetlabs/hiera,174615,false
34,puppetlabs/hiera,7436,true
33,puppetlabs/hiera,2981,true
32,puppetlabs/hiera,185084,false
31,puppetlabs/hiera,166814,false
30,puppetlabs/hiera,37568,true
29,puppetlabs/hiera,289143,true
28,puppetlabs/hiera,10,true
27,puppetlabs/hiera,78,true
26,puppetlabs/hiera,0,true
25,puppetlabs/hiera,1,true
24,puppetlabs/hiera,23403,true
23,puppetlabs/hiera,276051,false
21,puppetlabs/hiera,2445,true
20,puppetlabs/hiera,1195,true
18,puppetlabs/hiera,415,true
17,puppetlabs/hiera,8,true
16,puppetlabs/hiera,85,true
12,puppetlabs/hiera,278,true
10,puppetlabs/hiera,140423,true
7,puppetlabs/hiera,33,true
6,puppetlabs/hiera,233,true
5,puppetlabs/hiera,5186,false
4,puppetlabs/hiera,1,true
